hs10,sigma,rho,omega,constrained,theta0,theta1,theta2,period,description
"0101100010",6.440398,.8446456,1552.653,0,.1943639,.2034352,.9229584,6,"HORSES AND ASSES, PUREBRED BREEDING, MALE"
"0101100020",131.05,.9922701,76.31767,1,.5414714,-.2259027,1.075899,6,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE"
"0101110010",15.75,.9364143,634.9635,1,.5015967,-.2381657,1.20977,9,"HORSES, LIVE, PUREBRED BREEDING, MALE"
"0101110020",131.05,.9922701,76.31767,1,.3815712,-.2030256,1.076986,9,"HORSES, LIVE, PUREBRED BREEDING, FEMALE"
"0101190010",2.15,.2977108,.5838361,1,0,.6918428,0,9,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, NESOI"
"0101190090",19.75,.9492722,506.2991,1,1.318537,-.2455348,.869388,9,"HORSES, LIVE, NESOI"
"0101901090",23.95,.9581505,417.4197,1,.2147795,-.080493,.8431128,6,"HORSES, LIVE, NESOI"
"0102100030",7.05,0,0,1,0,.0275077,0,12,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING, EXCEPT DAIRY, MALE"
"0102100050",59.65,.5292636,.0195449,1,.0101125,0,0,12,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING, EXCEPT DAIRY, FEMALE"
"0102904038",3.35,.6285006,2.570313,1,0,.1759812,0,15,"BOVINE ANIMALS, LIVE, FEMALE, NESOI, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH"
"0102904072",45.75,.4631057,.019654,1,.022976,0,0,12,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 320 KG OR MORE EACH, MALES FOR BREEDING"
"0103100000",131.05,.9922701,76.31767,1,11.22046,-3.352021,-2.998731,15,"SWINE, LIVE, PUREBRED BREEDING ANIMALS"
"0103910000",8.25,.5292636,.1835442,1,.6174667,0,0,11,"SWINE, LIVE, NESOI, WEIGHING LESS THAN 50 KG EACH"
"0103920000",1.45,0,0,1,1.438624,-.1204442,-2.152629,8,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH"
"0104100000",18.88495,.9335987,3.675798,0,0,.043955,.7302196,14,"SHEEP, LIVE"
"0104200000",2.563918,.609911,3898.792,0,0,1.38035,1.519334,11,"GOATS, LIVE"
"0105990000",3.25,.2977108,.2321441,1,0,.1454127,0,15,"TURKEYS, DUCKS, GEESE AND GUINEA FOWLS, LIVE, WEIGHING OVER 185 G EACH"
"0106001000",2.377953,.5794123,4204.503,0,-.2582349,1.100918,.7912989,9,"BIRDS, LIVE"
"0106005010",3.05,.6720639,3279.211,1,3.056487,.3261206,0,5,"MONKEYS AND OTHER PRIMATES, LIVE"
"0106005070",5.95,.8318496,1680.516,1,0,.2593464,0,9,"RABBITS AND HARES, LIVE"
"0106199020",3.15,0,0,1,.1431686,-.044608,-.5945095,3,"DOGS, LIVE"
"0106199090",124.35,.7938955,.032234,1,.4288799,-.0320213,.1296433,4,"MAMMALS, LIVE, NESOI"
"0106199095",2.29858,.4931396,2.987657,0,.81485,.5769582,-.0208459,3,"MAMMALS, LIVE, NESOI"
"0106200000",2.268878,.5425859,14.34776,0,4.651606,.7367483,.146746,6,"LIVE REPTILES (INCLUDING SNAKES AND TURTLES)"
"0106320000",1.95,0,0,1,0,0,-1.058352,5,"LIVE PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)"
"0106390000",3.376164,.4953565,.7038718,0,.7550882,.1738522,-.0077449,6,"BIRDS, LIVE, NESOI"
"0201200600",2.55,0,0,1,0,.340333,0,9,"DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS CUTS W/BONE IN EX PROCESSED, FR/CH"
"0201205000",49.44501,.9796776,202.2685,0,-.1320187,.0355896,1.703495,13,"DESCRIBED IN ADDITIONAL US NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISION: MEAT OF BOVINEN ANMLS,CUTS WITH BONE IN,EXCEPT PROCESSED FR/C"
"0201300200",1.764315,.0768895,.1223073,0,-.3294559,.1425831,-1.199382,12,"DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO ITS PROVISIONS: BEEF CUTS, HIGH-UALITY, BONELESS, PROCESSED, FRESH/CHILLED"
"0201300600",2.85,.6490579,3507.456,1,1.091767,.317039,0,13,"DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS,BONELESS,EX PROCESSED,FRESH/CHILLEd"
"0201301000",18.95,.9471349,527.7731,1,.6681562,-.1423298,0,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: BEEF CURS HIGH QUALITY BONELESS PROCESSED FRESH OR CHILLED"
"0201305000",8.85,0,0,1,.0833854,-.0237641,.3128474,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS, BONELESS, EX PROCESSED, FRESH/CHIL"
"0201306000",8.65,0,0,1,.0241481,-.0225998,-.2796063,2,"MEAT OF BOVINE ANIMALS, BONELESS, EXCEPT PROCESSED, FRESH OR CHILLED"
"0201308090",2.75,0,0,1,0,.3188697,0,6,"DSCRBED IN ADDTNL US NOTE 3 TO THIS CHPTR AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANMLS, BONELESS, EXCEPT PROCESSED, OTHER THAN BISONFR"
