hs10,sigma,rho,omega,constrained,theta0,theta1,theta2,period,description
"0101100010",1.9877705,.48803492,27.62085,0,-.1394136,.97700877,-.04732049,6,"HORSES AND ASSES, PUREBRED BREEDING, MALE"
"0101100020",2.7117303,.63116864,3687.314,0,.0057438,.6903316,.59745732,6,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE"
"0101110010",131.05,.99227009,76.29913,1,.6845763,-.21334293,1.0627296,9,"HORSES, LIVE, PUREBRED BREEDING, MALE"
"0101110020",15.414656,.93503316,648.6684,1,-1125.48,-.19203262,.49353011,9,"HORSES, LIVE, PUREBRED BREEDING, FEMALE"
"0101190090",1.4662951,.31797725,6819.228,1,-380.2951,-.2379056,.1264507,9,"HORSES, LIVE, NESOI"
"0101901090",1.3854153,.17120355,1.155007,0,.3636353,1.3906156,-2.0586397,6,"HORSES, LIVE, NESOI"
"0102100030",7.9621939,.82016715,1.899133,0,.1568426,.09408949,.5114364,12,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING, EXCEPT DAIRY, MALE"
"0102100050",4.2818765,.76638089,2335.191,1,-.8243904,-.05849981,-1.2764392,12,"BOVINE ANIMALS, LIVE, PUREBRED BREEDING, EXCEPT DAIRY, FEMALE"
"0102904072",1.7577246,.26381792,.8973236,1,-3.906724,-.03896485,-.36378677,15,"BOVINE ANIMALS, LIVE, NESOI, WEIGHING 320 KG OR MORE EACH, MALES FOR BREEDING"
"0103100000",1.5449286,.35268564,6472.144,1,-29.75368,-1.2847652,-2.1456322,15,"SWINE, LIVE, PUREBRED BREEDING ANIMALS"
"0103920000",1.0224459,.02195095,9779.49,1,-818.159,-.54657162,-2.2096795,8,"SWINE, LIVE, NESOI, WEIGHING 50 KG OR MORE EACH"
"0104100000",1.1021887,.03660724,.5919616,1,-19.27262,-.2475628,.40202261,14,"SHEEP, LIVE"
"0106001000",2.8132381,.64447327,3554.267,0,-3.059515,4.5079699,7.6225231,9,"BIRDS, LIVE"
"0106005010",7.4526295,.86573259,1341.674,0,-.0630757,.38144002,2.3063156,9,"MONKEYS AND OTHER PRIMATES, LIVE"
"0106110000",1.4473504,.30905141,6908.486,1,-5.299818,-.5049386,1.9868687,6,"PRIMATES, LIVE"
"0106199010",1.3989603,.28515493,7147.451,1,-1303.499,-.24033486,.56032838,6,"RABBITS AND HARES, LIVE"
"0106199020",1.5051241,.12084415,.3738542,1,-.4299826,-.05903615,.29234057,3,"DOGS, LIVE"
"0106199090",1.0333914,.01230413,.5950809,1,-6.626661,-1.9119032,12.835741,4,"MAMMALS, LIVE, NESOI"
"0106199095",1.7695704,.4348476,5650.524,0,-4.953942,6.5890566,3.7713165,3,"MAMMALS, LIVE, NESOI"
"0106200000",1.2033799,.04783857,.3280841,0,-.0812758,1.2146509,-4.6698706,6,"LIVE REPTILES (INCLUDING SNAKES AND TURTLES)"
"0106390000",1.3135077,.03597023,.1350941,1,.8073442,-.74399134,-3.6656684,6,"BIRDS, LIVE, NESOI"
"0201205000",1.4246756,.01401918,.0346407,1,-.1204165,-.00122196,.50123051,13,"DESCRIBED IN ADDITIONAL US NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISION: MEAT OF BOVINEN ANMLS,CUTS WITH BONE IN,EXCEPT PROCESSED FR/C"
"0201300600",1.9766769,.01412107,.0148837,1,1.048414,-.1330204,-.51218801,13,"DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS,BONELESS,EX PROCESSED,FRESH/CHILLEd"
"0201301000",6.2471553,.58156237,.3603137,0,.3137272,.05047981,.07429596,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: BEEF CURS HIGH QUALITY BONELESS PROCESSED FRESH OR CHILLED"
"0201303000",1.3692365,.03019058,.0920729,1,.0412184,-.03235374,.15941007,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANMLS, NESOI, BONELESS, PROCESSED, FR/CH"
"0201305000",131.05,.94956878,.1692934,0,.0247965,.00015326,.05086581,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS, BONELESS, EX PROCESSED, FRESH/CHIL"
"0201308090",2.2357165,.03508109,.0303133,0,.0846584,.02380919,-.77982572,6,"DSCRBED IN ADDTNL US NOTE 3 TO THIS CHPTR AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANMLS, BONELESS, EXCEPT PROCESSED, OTHER THAN BISONFR"
"0202101010",131.05,.98282655,.7858959,1,1.091995,-.52190485,1.3145042,7,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED URSUANT TO ITS PROVISIONS: CARCASSES AND HALF-CRCASSES OF VEAL, FROZEN"
"0202205000",11.149243,.91021678,896.8322,0,-.109378,.15106037,1.4346189,13,"DESCRIBED IN ADDITIONAL US NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS, CUTS WITH BONE IN,EX PROCESSED,FROZN"
"0202300200",1.4859169,.08055146,.2199513,1,-16.18676,-.08239472,-.63380327,11,"DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO ITS PROVISIONS: BEFF CUTS, HIGH-QUALITY, BONELESS, PROCESSED, FROZEN"
"0202301000",36.91677,.8259431,.1522302,0,-.005177,.00367845,.10427574,13,"DESCRIBED IN ADDITIONAL US NTE 3 TO THIS CHAPTER AND ENTERED PURUANT TO ITS PROVISIONS: BEEF CUTS, HIGH-QUALITY, BONELESS, PROCESSED, FROZEN"
"0202303000",3.9775847,.21338826,.1002381,0,.1122875,.03059721,-.24473688,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OF BOVINE ANIMALS, NESOI, BONELESS, PROCESSED, FROZEN"
"0202305000",3.0502817,.44126451,.6265286,0,-.1166282,.18787356,-.10254413,13,"DESCRIBED IN ADDITIONAL U.S. NOTE 3 TO THIS CHAPTEER AND ENTERED PURSUANT TO ITS PROVISIONS: MEAT OFBOVINE ANIMALS, BONELESS, EXCEPT PROCESSED, FROZEN"
"0203121010",19.411162,.80739838,.2948193,0,.0274655,.01236703,.17337658,15,"HAMS AND CUTS THEREOF, OF SWINE, BONE IN, PROCESSED, FRESH OR CHILLED"
"0203192010",1.5234719,.34357021,6563.298,1,-11.29321,-.04125221,.26979145,15,"SPARE RIBS, OF SWINE, NESOI, PROCESSED, FRESH OR CHILLED"
"0203192090",13.236619,.89718643,2.485942,0,-.0568534,.05827864,.6314116,15,"MEAT OF SWINE, NESOI, PROCESSED, FRESH OR CHILLED"
"0203194010",3.2737045,.6944662,3054.338,1,-.5471821,-.13238316,-.7398366,15,"BELLIES OF SWINE, NESOI, EXCEPT PROCESSED, FRESH OR CHILLED"
"0203194090",8.4924238,.88215976,1177.402,0,-.2431094,.38214362,2.7297138,15,"MEAT OF SWINE, NESOI, EXCEPT PROCESSED, FRESH OR CHILLED"
"0203229000",3.6757383,.72787302,2720.27,1,-510.1528,-.06165273,.40634883,15,"HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, BONE IN, EXCEPT PROCESSED, FROZEN"
"0203292000",4.166637,.39433972,.2588267,0,.0432298,.06492992,-.11018295,15,"MEAT OF SWINE, NESOI, PROCESSED, FROZEN"
"0203294000",2.4963425,.44246355,1.129304,0,-.1148797,.35443957,-.13793318,15,"MEAT OF SWINE, NESOI, EXCEPT PROCESSED, FROZEN"
"0204100000",8.4974239,.88222904,1176.71,1,-30.62613,-.05346383,.72919519,15,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED"
"0204210000",8.4888413,.88211007,1177.899,1,-1.205745,-.19578473,-.78396499,7,"CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH OR CHILLED"
"0204222010",1.0810871,.05467832,2.488192,1,-2.173705,-.71886607,3.4164507,10,"MEAT OF LAMB, CUTS WITH BONE IN, SHOULDERS, FRESH OR CHILLED"
"0204222030",13.640677,.72369988,.2613654,0,.0121801,.01639218,.12809859,10,"MEAT OF LAMB, CUTS WITH BONE IN, LOINS, FRESH OR CHILLED"
"0204222090",2.2928829,.11288241,.1091646,0,.0019489,.07612489,-.67504467,10,"MEAT OF LAMB, CUTS WITH BONE IN, NESOI, FRESH OR CHILLED"
"0204232000",1.6314819,.0456288,.0819131,0,-.0733251,.1198947,-1.5078654,15,"MEAT OF LAMB, BONELESS, FRESH OR CHILLED"
"0204300000",1.6417515,.39085533,6090.447,1,-2.093078,-.01256393,-.46761168,15,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN"
"0204422000",9.2394997,.85992607,2.922801,0,.035496,.09042783,.62371351,6,"MEAT OF LAMB, CUTS WITH BONE IN, NESOI, FROZEN"
"0204422020",1.6938991,.40960511,5902.949,1,-2.756933,-.23851293,-.89989289,10,"MEAT OF LAMB, CUTS WITH BONE IN, LEGS, FROZEN"
"0204422030",2.0455726,.13431211,.1742441,0,-.0017409,.14192061,-.80802548,10,"MEAT OF LAMB, CUTS WITH BONE IN, LOINS, FROZEN"
"0204422090",3.6835674,.56187513,.9153111,0,.0305411,.17808072,.1052533,10,"MEAT OF LAMB, CUTS WITH BONE IN, NESOI, FROZEN"
"0204432000",2.9803008,.66073061,59.39245,1,-.126127,-.1538932,1.2961213,15,"MEAT OF LAMB, BONELESS, FROZEN"
